"","sitename","region_code","allocated","nyrs","firstyear","lastyear","layer","edge_density","largest_patch_index","patch_density","patch_richness_density","dominant_habitat","largest_patch_habitat","largest_patch_perimarea","mean_patch_perimarea","dominant_largest_same"
"3","HP6408","SHET","Y",3,2018,2024,"lcm_2019",41.05050505,47.03030303,8.404040404,1.939393939,"Improved grassland","Improved grassland",0.006735395,0.050995793,1
"53","HU3656","SHET","Y",4,1994,2021,"lcm_2019",3.557617943,97.75715391,0.928074246,0.618716164,"Mountain, heath and bog","Mountain, heath and bog",0.002768987,0.060980967,1
"88","HU3929","SHET","Y",3,2019,2024,"lcm_2019",0,100,0.333402792,0.333402792,"Mountain, heath and bog","Mountain, heath and bog",0.002667222,0.002667222,1
"143","HU5198","SHET","Y",3,2019,2023,"lcm_2019",31.19507909,37.34622144,3.866432337,1.405975395,"Mountain, heath and bog","Mountain, heath and bog",0.0072,0.049963002,1
"161","HY1803","ORKN","Y",3,2018,2024,"lcm_2019",21.1143695,85.3372434,2.681189778,1.340594889,"Mountain, heath and bog","Mountain, heath and bog",0.005655376,0.064289302,1
"163","HY3126","ORKN","Y",14,1994,2023,"lcm_2019",22.50580046,69.41221964,2.784222738,1.237432328,"Mountain, heath and bog","Mountain, heath and bog",0.004456825,0.066519777,1
"173","HY3322","ORKN","Y",3,2013,2023,"lcm_2019",0,100,0.309358082,0.309358082,"Mountain, heath and bog","Mountain, heath and bog",0.002474865,0.002474865,1
"191","HY3829","ORKN","Y",13,1997,2023,"lcm_2019",25.7189811,50.28759244,1.643385374,1.314708299,"Mountain, heath and bog","Mountain, heath and bog",0.005261438,0.0325748,1
"201","HY4706","ORKN","Y",3,2018,2023,"lcm_2019",31.78654292,55.72312452,2.474864656,0.928074246,"Mountain, heath and bog","Mountain, heath and bog",0.006439972,0.035808482,1
"236","IC3907","TYRO","Y",15,2005,2023,"lcm_2019",23.23330106,93.7463698,3.407550823,1.548886738,"Improved grassland","Improved grassland",0.004857497,0.047462564,1
"239","IC5022","LDRY","Y",8,2007,2023,"lcm_2019",30.37582332,78.78729175,4.649360713,1.239829523,"Arable","Arable",0.005920826,0.065911659,1
"250","IC5214","LDRY","Y",9,2002,2024,"lcm_2019",59.92654166,59.90721052,6.49526387,1.546491398,"Improved grassland","Improved grassland",0.0104808,0.048271994,1
"252","IC5313","LDRY","Y",10,1997,2024,"lcm_2019",56.34674923,42.74380805,5.263157895,1.238390093,"Improved grassland","Mountain, heath and bog",0.010755998,0.055193564,0
"265","IC5816","LDRY","Y",3,2014,2024,"lcm_2019",45.1500484,46.71829622,4.027105518,1.23910939,"Mountain, heath and bog","Mountain, heath and bog",0.007824285,0.029159297,1
"276","IC6311","LDRY","Y",22,1994,2024,"lcm_2019",37.56050339,53.72700871,4.027105518,1.23910939,"Mountain, heath and bog","Mountain, heath and bog",0.008100901,0.049694461,1
"279","IC6417","LDRY","Y",17,2006,2024,"lcm_2019",53.36948102,61.56080558,6.196746708,1.239349342,"Improved grassland","Improved grassland",0.008430324,0.052464898,1
"296","IC6517","LDRY","Y",17,2006,2024,"lcm_2019",56.56800155,48.15244728,7.119365448,1.547688141,"Improved grassland","Improved grassland",0.008324628,0.05696846,1
"300","IC6525","LDRY","Y",6,2014,2024,"lcm_2019",9.215876089,97.96708616,1.858664085,0.619554695,"Arable","Arable",0.003383399,0.051716291,1
"314","IC7232","LDRY","Y",23,1997,2023,"lcm_2019",4.800619435,95.39295393,0.619434766,0.619434766,"Mountain, heath and bog","Mountain, heath and bog",0.002581169,0.01187882,1
"326","IC7417","LDRY","Y",20,1998,2024,"lcm_2019",39.62081641,56.50996324,3.714451538,0.928612885,"Mountain, heath and bog","Mountain, heath and bog",0.006052722,0.049950403,1
"333","IC7431","LDRY","Y",21,1996,2019,"lcm_2019",46.14789005,40.2245451,5.265195509,1.238869532,"Mountain, heath and bog","Coniferous woodland",0.007122233,0.052737952,0
"340","IC7803","LDRY","Y",25,1994,2024,"lcm_2019",10.99922541,93.53214562,1.859024012,0.929512006,"Mountain, heath and bog","Mountain, heath and bog",0.003130435,0.039179951,1
"355","IC8106","LDRY","Y",22,1997,2024,"lcm_2019",32.05574913,62.07897793,3.097173829,1.238869532,"Mountain, heath and bog","Mountain, heath and bog",0.004889305,0.039986987,1
"359","IC8613","LDRY","Y",23,1994,2024,"lcm_2019",92.76035617,46.2253194,12.07897793,1.858304297,"Improved grassland","Improved grassland",0.015979899,0.054538201,1
"373","IC8622","LDRY","Y",7,2002,2024,"lcm_2019",35.77928364,89.23523717,6.815101646,1.548886738,"Improved grassland","Improved grassland",0.006161857,0.055124477,1
"379","IC8712","LDRY","Y",23,1995,2024,"lcm_2019",90.56749952,71.04396669,13.94538059,1.859384079,"Improved grassland","Improved grassland",0.01306434,0.058765671,1
"390","IC8729","LDRY","Y",17,1996,2023,"lcm_2019",92.47436642,31.74695299,11.76242987,1.857225769,"Semi-natural grassland","Semi-natural grassland",0.012431444,0.053975271,1
