gridref,region_code,allocated,nyrs,firstyear,lastyear
HP6408,SHET,Y,3,2018,2024
HU2078,SHET,N,3,2019,2023
HU3160,SHET,N,1,2019,2019
HU3177,SHET,N,2,2019,2023
HU3274,SHET,N,1,2019,2019
HU3467,SHET,N,2,2019,2023
HU3585,SHET,N,3,2019,2023
HU3656,SHET,Y,4,1994,2021
HU3731,SHET,N,3,2006,2012
HU3744,SHET,N,2,2019,2023
HU3777,SHET,N,1,2019,2019
HU3929,SHET,Y,3,2019,2024
HU4353,SHET,N,13,1994,2007
HU4373,SHET,N,3,2017,2023
HU4444,SHET,N,1,2019,2019
HU4524,SHET,N,11,2003,2015
HU4653,SHET,N,3,2007,2009
HU4794,SHET,N,1,1994,1994
HU4998,SHET,N,2,2019,2021
HU5198,SHET,Y,3,2019,2023
HU6490,SHET,N,13,1995,2010
HY1803,ORKN,Y,3,2018,2024
HY3126,ORKN,Y,14,1994,2023
HY3322,ORKN,Y,3,2013,2023
HY3615,ORKN,N,23,1994,2019
HY3829,ORKN,Y,13,1997,2023
HY4147,ORKN,N,16,1994,2012
HY4706,ORKN,Y,3,2018,2023
HY4711,ORKN,N,21,1994,2021
HY4803,ORKN,N,4,2004,2021
HY5039,ORKN,N,16,1994,2012
HY6624,ORKN,Y,4,2021,2024
HY6629,ORKN,Y,4,2021,2024
IC3907,TYRO,Y,15,2005,2023
IC5022,LDRY,Y,8,2007,2023
IC5214,LDRY,Y,9,2002,2024
IC5313,LDRY,Y,10,1997,2024
IC5811,LDRY,N,11,1994,2007
IC5816,LDRY,Y,3,2014,2024
IC6311,LDRY,Y,22,1994,2024
IC6417,LDRY,Y,17,2006,2024
IC6503,LDRY,N,5,2002,2007
IC6517,LDRY,Y,17,2006,2024
IC6525,LDRY,Y,6,2014,2024
IC6812,LDRY,N,9,1997,2006
IC7232,LDRY,Y,23,1997,2023
IC7417,LDRY,Y,20,1998,2024
IC7431,LDRY,Y,21,1996,2019
IC7803,LDRY,Y,25,1994,2024
IC8022,LDRY,N,4,2002,2006
IC8106,LDRY,Y,22,1997,2024
IC8613,LDRY,Y,23,1994,2024
IC8619,LDRY,N,4,2009,2012
IC8622,LDRY,Y,7,2002,2024
IC8712,LDRY,Y,23,1995,2024
IC8729,LDRY,Y,17,1996,2023
IC8831,LDRY,N,1,2012,2012
IC8840,ANTR,N,7,2005,2017
IC9019,ANTR,Y,15,2005,2024
IC9024,ANTR,N,3,2007,2009
IC9039,ANTR,Y,21,1997,2024
IC9104,ANTR,Y,10,2012,2023
IC9111,ANTR,N,1,2012,2012
IC9127,ANTR,Y,21,1994,2024
IC9643,ANTR,Y,7,2014,2023
ID0004,ANTR,Y,2,2017,2024
ID0638,ANTR,Y,9,2002,2024
ID0808,ANTR,Y,7,2017,2024
ID0923,ANTR,Y,14,1996,2023
ID0931,ANTR,N,10,1994,2014
ID1037,ANTR,Y,11,1994,2013
ID1134,ANTR,N,14,1996,2013
ID1412,ANTR,N,19,1994,2019
ID1704,ANTR,Y,21,2002,2024
ID1904,ANTR,Y,6,2007,2024
ID2013,ANTR,Y,16,1997,2024
ID2209,ANTR,Y,6,2017,2024
ID2227,ANTR,Y,7,2017,2024
ID2530,ANTR,Y,16,1996,2024
ID3007,ANTR,Y,7,2006,2024
ID3100,ANTR,Y,28,1994,2024
ID3307,ANTR,Y,16,2007,2024
ID4001,ANTR,Y,25,1996,2024
IG9357,FERM,Y,21,1996,2022
IG9759,FERM,Y,1,2013,2013
IH0542,FERM,Y,23,1996,2022
IH1144,FERM,Y,19,1996,2019
IH1168,FERM,N,4,2010,2013
IH1349,FERM,Y,15,1996,2024
IH1464,FERM,Y,26,1996,2024
IH1481,TYRO,Y,23,1996,2023
IH1561,FERM,Y,18,2002,2022
IH1681,TYRO,Y,7,2016,2023
IH1856,FERM,Y,16,2006,2024
IH1861,FERM,Y,22,1996,2022
IH1975,TYRO,Y,24,1996,2023
IH2151,FERM,Y,18,2002,2022
IH2356,FERM,Y,16,1997,2024
IH2443,FERM,Y,11,1996,2019
IH2528,FERM,Y,17,2006,2024
IH2649,FERM,Y,20,1997,2024
IH2669,FERM,N,10,1997,2010
IH2743,FERM,N,21,1996,2017
IH2837,FERM,N,8,1997,2007
IH3181,TYRO,Y,5,2012,2024
IH3182,TYRO,Y,14,1996,2023
IH3278,TYRO,Y,23,1996,2023
IH3340,FERM,Y,19,2002,2023
IH3479,TYRO,Y,19,2002,2023
IH3536,FERM,Y,20,2002,2024
IH3641,FERM,N,20,1997,2017
IH3754,TYRO,Y,7,2013,2024
IH3839,FERM,Y,16,2006,2023
IH3870,TYRO,N,7,1998,2005
IH3932,FERM,Y,18,2002,2024
IH4050,TYRO,Y,10,2002,2024
IH4094,TYRO,Y,21,1997,2024
IH4136,FERM,Y,17,2006,2024
IH4170,TYRO,Y,21,1997,2023
IH4424,FERM,N,5,1997,2006
IH4488,TYRO,Y,2,2015,2024
IH4680,TYRO,Y,6,2002,2024
IH4688,TYRO,Y,20,1996,2023
IH4930,FERM,N,7,1997,2013
IH5288,TYRO,Y,6,2016,2024
IH5341,TYRO,Y,5,2014,2018
IH5444,TYRO,Y,18,2002,2024
IH5457,TYRO,N,10,1996,2008
IH5568,TYRO,Y,19,1997,2023
IH5658,TYRO,N,2,2007,2008
IH5681,TYRO,N,8,1996,2005
IH5883,TYRO,N,16,1997,2016
IH6196,TYRO,N,8,1996,2005
IH6598,TYRO,N,9,1996,2005
IH6664,TYRO,Y,16,2002,2023
IH6999,TYRO,Y,23,1996,2024
IH7255,ARMA,Y,5,2006,2021
IH7346,ARMA,Y,2,2022,2023
IH7354,ARMA,Y,4,2013,2024
IH7386,TYRO,Y,20,1996,2017
IH7440,ARMA,Y,21,1999,2024
IH7477,TYRO,N,7,1996,2005
IH7547,ARMA,Y,6,2002,2023
IH7644,ARMA,Y,5,2002,2021
IH7659,ARMA,Y,2,2022,2023
IH7699,LDRY,N,7,1996,2014
IH7769,TYRO,Y,8,2002,2023
IH8132,ARMA,Y,20,1996,2024
IH8137,ARMA,Y,6,2016,2024
IH8237,ARMA,Y,17,2006,2024
IH8433,ARMA,Y,21,2002,2024
IH8459,ARMA,Y,23,1996,2024
IH8471,TYRO,Y,9,1996,2024
IH8878,TYRO,Y,6,2002,2024
IH8982,LDRY,Y,3,2013,2024
IH9025,ARMA,Y,8,1999,2021
IH9058,ARMA,Y,4,2006,2023
IH9062,ARMA,Y,21,2002,2024
IH9153,ARMA,Y,7,2002,2023
IH9258,ARMA,Y,15,2010,2024
IH9384,LDRY,Y,16,1997,2024
IH9625,ARMA,N,5,1996,2000
IH9643,ARMA,N,13,2005,2021
IH9646,ARMA,Y,17,2006,2024
IH9674,TYRO,Y,10,1996,2021
IH9918,ARMA,Y,19,2002,2024
IH9949,ARMA,N,10,2012,2021
IH9954,ARMA,Y,17,1995,2024
IJ0015,ARMA,Y,20,1996,2024
IJ0159,ANTR,Y,13,1996,2023
IJ0330,ARMA,Y,21,1996,2024
IJ0335,ARMA,Y,15,2006,2024
IJ0450,ANTR,Y,9,2014,2024
IJ0493,ANTR,N,3,2014,2016
IJ0561,ANTR,Y,28,1994,2024
IJ0615,ARMA,Y,12,1996,2023
IJ0753,ANTR,Y,4,2021,2024
IJ0939,ARMA,Y,8,2011,2024
IJ1371,ANTR,Y,13,2009,2023
IJ1426,DOWN,Y,16,1995,2011
IJ1476,ANTR,N,5,2008,2023
IJ1494,ANTR,N,17,1999,2021
IJ1531,DOWN,N,22,1997,2021
